			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
nu	1122	21619	9.981328	223	8877	9.091219	892	12498	9.433324	7	244	5.497168
gu	1448	15815	9.668714	454	6128	8.720624	991	9680	9.177817	3	7	1.94591
lp	268	3030	8.016318	0	0	0	268	3030	8.016318	0	0	0
ph	11	46	3.828641	1	1	0	9	44	3.78419	1	1	0
ep	951	8256	9.018695	99	1467	7.290975	852	6789	8.823059	0	0	0
eu	286	2425	7.793587	96	1839	7.516977	188	583	6.368187	2	3	1.098612
lf	169	1197	7.087574	0	0	0	165	1127	7.027315	4	70	4.248495
fi	3792	47557	10.769684	1133	25684	10.153624	2563	21467	9.974272	96	406	6.006353
mb	1353	16331	9.70082	0	0	0	1353	16331	9.70082	0	0	0
pr	5295	94887	11.460442	3350	66996	11.112388	1945	27891	10.236059	0	0	0
ub	594	8059	8.994545	55	150	5.010635	535	7900	8.974618	4	9	2.197225
ee	133	1153	7.050123	0	0	0	31	76	4.330733	102	1077	6.981935
au	1135	11588	9.357725	559	6245	8.739536	569	5330	8.581107	7	13	2.564949
pl	885	7360	8.903815	211	802	6.687109	674	6558	8.788441	0	0	0
sp	3449	39316	10.579387	1828	19719	9.889338	1621	19597	9.883132	0	0	0
ax	51	678	6.519147	0	0	0	40	509	6.232448	11	169	5.129899
xi	59	556	6.320768	0	0	0	54	144	4.969813	5	412	6.021023
fl	381	2172	7.683404	156	726	6.58755	225	1446	7.276556	0	0	0
fr	1287	16652	9.720286	722	11670	9.364777	565	4982	8.513587	0	0	0
fu	768	11551	9.354527	452	9500	9.159047	315	2050	7.625595	1	1	0
fg	2	7	1.94591	0	0	0	2	7	1.94591	0	0	0
ha	109	49096	10.801533	37	48502	10.78936	52	479	6.171701	20	115	4.744932
ik	52	135	4.905275	4	6	1.791759	40	106	4.663439	8	23	3.135494
ka	151	438	6.082219	57	202	5.308268	47	115	4.744932	47	121	4.795791
oa	204	803	6.688355	2	26	3.258097	188	666	6.50129	14	111	4.70953
ft	13	62	4.127134	0	0	0	12	44	3.78419	1	18	2.890372
su	1917	52831	10.874853	1044	42574	10.658999	868	10249	9.234935	5	8	2.079442
gm	61	209	5.342334	0	0	0	61	209	5.342334	0	0	0
ah	37	271	5.602119	6	34	3.526361	21	103	4.634729	10	134	4.89784
ho	64	8350	9.030017	29	8107	9.000483	24	196	5.278115	11	47	3.850148
oy	7	65	4.174387	0	0	0	5	61	4.110874	2	4	1.386294
