		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
biL	3	24	329.000000	5.796058	0	0.000000	0.000000	9	209.000000	5.342334	15	120.000000	4.787492	0	0.000000	0.000000	24	329.000000	5.796058	9	209.000000	5.342334	
LO	2	30	103.000000	4.634729	0	0.000000	0.000000	0	0.000000	0.000000	13	58.000000	4.060443	17	45.000000	3.806662	38	121.000000	4.795791	0	0.000000	0.000000	
bin	3	10	153.000000	5.030438	1	2.000000	0.693147	1	22.000000	3.091042	2	2.000000	0.693147	6	127.000000	4.844187	210	3081.000000	8.033009	19	128.000000	4.852030	
bjo	3	127	1420.000000	7.258412	0	0.000000	0.000000	54	250.000000	5.521461	28	96.000000	4.564348	45	1074.000000	6.979145	151	1704.000000	7.440734	77	533.000000	6.278521	
soN	3	72	2774.000000	7.928046	0	0.000000	0.000000	42	899.000000	6.801283	30	1875.000000	7.536364	0	0.000000	0.000000	72	2774.000000	7.928046	42	899.000000	6.801283	
bok	3	108	714.000000	6.570883	0	0.000000	0.000000	48	558.000000	6.324359	60	156.000000	5.049856	0	0.000000	0.000000	116	756.000000	6.628041	50	560.000000	6.327937	
kas	3	367	2240.000000	7.714231	0	0.000000	0.000000	218	1611.000000	7.384610	139	605.000000	6.405228	10	24.000000	3.178054	561	10110.000000	9.221280	369	8523.000000	9.050524	
kO	2	359	8477.000000	9.045112	6	36.000000	3.583519	105	6131.000000	8.721113	177	1957.000000	7.579168	71	353.000000	5.866468	986	20228.000000	9.914823	340	12060.000000	9.397649	
bOf	3	3	5.000000	1.609438	1	2.000000	0.693147	1	2.000000	0.693147	1	1.000000	0.000000	0	0.000000	0.000000	3	5.000000	1.609438	2	4.000000	1.386294	
fa	2	1030	19466.000000	9.876425	9	3605.000000	8.190077	436	12357.000000	9.421978	494	2723.000000	7.909489	91	781.000000	6.660575	2196	40500.000000	10.609057	1091	33631.000000	10.423204	
bO	2	109	553.000000	6.315358	0	0.000000	0.000000	53	298.000000	5.697093	50	244.000000	5.497168	6	11.000000	2.397895	227	2068.000000	7.634337	121	1540.000000	7.339538	
bo	2	668	5000.000000	8.517193	4	23.000000	3.135494	164	779.000000	6.658011	384	2805.000000	7.939159	116	1393.000000	7.239215	1385	9681.000000	9.177920	573	4450.000000	8.400659	
bon	3	74	390.000000	5.966147	0	0.000000	0.000000	30	149.000000	5.003946	44	241.000000	5.484797	0	0.000000	0.000000	232	1042.000000	6.948897	92	336.000000	5.817111	
dan	3	371	3163.000000	8.059276	3	29.000000	3.367296	112	1210.000000	7.098376	247	1901.000000	7.550135	9	23.000000	3.135494	564	4334.000000	8.374246	138	1549.000000	7.345365	
