			Position	Word Onset			Word Medial			Word Final			Syllable Onset			Syllable Medial			Syllable Final			Cross Syllable
biPhone	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	
tO	1035	11781.000000	9.374243	165	1863.000000	7.529943	729	8817.000000	9.084437	141	1101.000000	7.003974	975	9024.000000	9.107643	27	108.000000	4.682131	779	9693.000000	9.179159	0	0.000000	0.000000	
Oz	95	849.000000	6.744059	1	9.000000	2.197225	92	833.000000	6.725034	2	7.000000	1.945910	3	11.000000	2.397895	0	0.000000	0.000000	95	849.000000	6.744059	0	0.000000	0.000000	
zz	4901	68282.000000	11.131401	0	0.000000	0.000000	4901	68282.000000	11.131401	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	4901	68282.000000	11.131401	
zi	604	8119.000000	9.001962	28	356.000000	5.874931	260	3245.000000	8.084871	316	4518.000000	8.415825	604	8119.000000	9.001962	0	0.000000	0.000000	533	7744.000000	8.954674	0	0.000000	0.000000	
tt	8449	127683.000000	11.757306	0	0.000000	0.000000	8449	127683.000000	11.757306	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	8449	127683.000000	11.757306	
tE	1613	29413.000000	10.289192	240	11685.000000	9.366061	1368	17703.000000	9.781489	5	25.000000	3.218876	1562	28868.000000	10.270489	29	210.000000	5.347108	421	5606.000000	8.631593	0	0.000000	0.000000	
En	4535	77723.000000	11.260907	30	451.000000	6.111467	4464	75847.000000	11.236473	41	1425.000000	7.261927	152	1360.000000	7.215240	2	4.000000	1.386294	3965	65806.000000	11.094466	568	11913.000000	9.385386	
om	3482	57572.000000	10.960792	112	1360.000000	7.215240	3359	55936.000000	10.931963	11	276.000000	5.620401	29	411.000000	6.018593	0	0.000000	0.000000	1671	18038.000000	9.800236	1811	39534.000000	10.584916	
rL	234	751.000000	6.621406	0	0.000000	0.000000	234	751.000000	6.621406	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	234	751.000000	6.621406	
Le	331	3937.000000	8.278174	9	149.000000	5.003946	249	1548.000000	7.344719	73	2240.000000	7.714231	331	3937.000000	8.278174	0	0.000000	0.000000	245	3471.000000	8.152198	0	0.000000	0.000000	
el	3369	129692.000000	11.772918	390	4810.000000	8.478452	2929	77733.000000	11.261035	50	47149.000000	10.761068	58	371.000000	5.916202	0	0.000000	0.000000	1159	111805.000000	11.624512	2203	17773.000000	9.785436	
ev	2057	34058.000000	10.435820	176	2424.000000	7.793174	1881	31634.000000	10.361988	0	0.000000	0.000000	3	20.000000	2.995732	0	0.000000	0.000000	6	31.000000	3.433987	2051	34027.000000	10.434910	
tu	2545	43310.000000	10.676139	339	16627.000000	9.718783	2175	26388.000000	10.180665	31	295.000000	5.686975	2359	40777.000000	10.615873	26	83.000000	4.418841	2018	24350.000000	10.100287	1	1.000000	0.000000	
ut	2440	50232.000000	10.824408	87	1332.000000	7.194437	2346	48876.000000	10.797042	7	24.000000	3.178054	2	4.000000	1.386294	0	0.000000	0.000000	503	19226.000000	9.864019	1936	31005.000000	10.341904	
az	2432	36053.000000	10.492745	62	860.000000	6.756932	2366	35179.000000	10.468205	4	14.000000	2.639057	100	1434.000000	7.268223	0	0.000000	0.000000	2428	36038.000000	10.492329	4	15.000000	2.708050	
ia	1543	26829.000000	10.197239	1	1.000000	0.000000	716	5269.000000	8.569596	826	21559.000000	9.978549	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1543	26829.000000	10.197239	
ie	508	3696.000000	8.215006	2	3.000000	1.098612	218	1051.000000	6.957497	288	2642.000000	7.879291	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	508	3696.000000	8.215006	
bE	458	8774.000000	9.079548	210	6453.000000	8.772300	241	2294.000000	7.738052	7	27.000000	3.295837	456	8767.000000	9.078750	2	7.000000	1.945910	136	2776.000000	7.928766	0	0.000000	0.000000	
ec	859	15890.000000	9.673445	90	1158.000000	7.054450	769	14732.000000	9.597777	0	0.000000	0.000000	90	1158.000000	7.054450	0	0.000000	0.000000	170	1568.000000	7.357556	689	14322.000000	9.569552	
ce	3069	44066.000000	10.693444	690	9891.000000	9.199381	1782	18813.000000	9.842303	597	15362.000000	9.639652	3069	44066.000000	10.693444	0	0.000000	0.000000	1757	27194.000000	10.210752	0	0.000000	0.000000	
ed	1958	24821.000000	10.119445	126	4783.000000	8.472823	1829	20008.000000	9.903887	3	30.000000	3.401197	8	3301.000000	8.101981	0	0.000000	0.000000	63	713.000000	6.569481	1891	20819.000000	9.943621	
da	3578	83912.000000	11.337524	467	51011.000000	10.839797	2437	21923.000000	9.995292	674	10978.000000	9.303649	3551	83759.000000	11.335699	0	0.000000	0.000000	2502	37253.000000	10.525488	27	153.000000	5.030438	
rj	2317	32937.000000	10.402352	103	2668.000000	7.889084	2214	30269.000000	10.317879	0	0.000000	0.000000	2023	26136.000000	10.171069	294	6801.000000	8.824825	0	0.000000	0.000000	0	0.000000	0.000000	
ll	5270	132936.000000	11.797623	0	0.000000	0.000000	5269	132929.000000	11.797570	1	7.000000	1.945910	0	0.000000	0.000000	0	0.000000	0.000000	2	8.000000	2.079442	5268	132928.000000	11.797563	
lj	763	13405.000000	9.503383	29	264.000000	5.575949	734	13141.000000	9.483492	0	0.000000	0.000000	741	13215.000000	9.489108	22	190.000000	5.247024	0	0.000000	0.000000	0	0.000000	0.000000	
ir	3389	34450.000000	10.447264	296	1785.000000	7.487174	3059	32457.000000	10.387671	34	208.000000	5.337538	293	1243.000000	7.125283	0	0.000000	0.000000	1146	6843.000000	8.830982	2243	27607.000000	10.225825	
iS	443	3362.000000	8.120291	0	0.000000	0.000000	441	3359.000000	8.119399	2	3.000000	1.098612	27	331.000000	5.802118	0	0.000000	0.000000	443	3362.000000	8.120291	0	0.000000	0.000000	
SS	1597	19524.000000	9.879400	0	0.000000	0.000000	1597	19524.000000	9.879400	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1597	19524.000000	9.879400	
